"outcome_type","animal_type","mixed_purebred","color_group","health_status","sex","neutered","age_norm","age_group"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Male","Intact",0.409090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Light","Sick_Aged_Pregnant","Female","Intact",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.681818181818182,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Not_Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.636363636363636,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Purebred","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Purebred","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
